Number,Crime,Address,Time,url
12-000326,Domestic Violence,1400 block of Mayfield St,725,pages/view.aspx?publish_date=20120102
12-000719,Burglary,3800 block of Presidio St,1951,pages/view.aspx?publish_date=20120102
12-000967,Attempt Stolen Vehicle,2400 block of Seamist Dr,157,pages/view.aspx?publish_date=20120102
12-000985,Shooting,1700 block of Tribute Rd,327,pages/view.aspx?publish_date=20120102
12-000526,Traffic Stop,Power Inn Rd / Cucamonga Ave,1501,pages/view.aspx?publish_date=20120102
12-000649,Sexual Assault,Unknown Location,1804,pages/view.aspx?publish_date=20120102
12-000755,Burglary,5137 Cabot Cir,2047,pages/view.aspx?publish_date=20120102
12-000356,Shooting,21st St / Broadway,848,pages/view.aspx?publish_date=20120102
12-000721,Shooting,6600 block of Bruceville Rd,1954,pages/view.aspx?publish_date=20120102
12-000959,Suspicious Subject,1400 block of 69th Ave,147,pages/view.aspx?publish_date=20120102
12-000988,Shooting,7600 block of Detroit Blvd,343,pages/view.aspx?publish_date=20120102
12-001621,Suspicious Vehicle,2400 block of Del Paso Blvd,2130,pages/view.aspx?publish_date=20120103
12-001623,Pursuit,Norwood Ave / I 80 Eb,2134,pages/view.aspx?publish_date=20120103
12-001729,Domestic Violence,Orlando/Vaness St,2,pages/view.aspx?publish_date=20120103
12-001023,Robbery,8300 block of Folsom Blvd,629,pages/view.aspx?publish_date=20120103
12-001068,Suspicious Subject,3800 block of 16th Ave,840,pages/view.aspx?publish_date=20120103
12-001234,Subject Stop,13th St / F St,1328,pages/view.aspx?publish_date=20120103
12-001250,Suspicious Subject,13th St/C St Alley,1347,pages/view.aspx?publish_date=20120103
12-001323,Dead Body,3400 block of Newson Ct,1518,pages/view.aspx?publish_date=20120103
12-001381,Burglary,5600 block of Helen Way,1619,pages/view.aspx?publish_date=20120103
12-001510,Domestic Dispute,4500 block of Lew Way,1837,pages/view.aspx?publish_date=20120103
12-001532,Burglary,2900 block of N Meadows Pl,1914,pages/view.aspx?publish_date=20120103
12-001850,Suspicious Subject,2400 block of Rio Linda Blvd,748,pages/view.aspx?publish_date=20120104
12-001992,Stolen Vehicle,Harris/Norwood Ave,1908,pages/view.aspx?publish_date=20120104
12-002675,Burglary,2300 block of Oak Harbour Dr,2250,pages/view.aspx?publish_date=20120104
12-002695,Indecent Exposure,1900 block of Bowling Green Dr,2324,pages/view.aspx?publish_date=20120104
12-002132,Suspicious Circumstance,59th St / T St,1309,pages/view.aspx?publish_date=20120104
12-002329,Shooting,8800 block of Elder Creek Rd,1628,pages/view.aspx?publish_date=20120104
12-002392,Warrant Arrest,1200 block of North B St,1721,pages/view.aspx?publish_date=20120104
12-002648,Suspicious Subject,3600 block of 37th St,2224,pages/view.aspx?publish_date=20120104
12-002726,Attempt Burglary,6300 block of 37th Ave,22,pages/view.aspx?publish_date=20120104
12-002804,Theft,1600 block of N St (Alley),520,pages/view.aspx?publish_date=20120104
12-002001,Robbery,8200 block of Center Pkwy,1048,pages/view.aspx?publish_date=20120104
12-002038,Robbery,6300 block of Bamford Dr,1129,pages/view.aspx?publish_date=20120104
12-002118,Burglary,8600 block of Sunnybrae Dr,1259,pages/view.aspx?publish_date=20120104
12-002262,Attempt Sexual Assault,3900 block of Cottontail Way,1521,pages/view.aspx?publish_date=20120104
12-002316,Domestic Violence,7600 block of Greenhaven Dr,1621,pages/view.aspx?publish_date=20120104
12-002476,Pursuit,Matson Dr / Tamoshanter Way,1848,pages/view.aspx?publish_date=20120104
12-002685,Suspicious Circumstance,4100 block of Weymouth Lane,2300,pages/view.aspx?publish_date=20120104
12-002792,Suspicious Circumstance,Starglow Cir/Jonfer Way,404,pages/view.aspx?publish_date=20120104
12-002375,Warrant Arrest,Acmar Ct/Village Wood Dr,1714,pages/view.aspx?publish_date=20120104
12-002837,Subject Stop,Arden Way / Ethan Way,733,pages/view.aspx?publish_date=20120105
12-002947,Suspicious Activity,900 block of Arcade Blvd,1005,pages/view.aspx?publish_date=20120105
12-003102,Suspicious Subject,1200 block of Browning Dr,1231,pages/view.aspx?publish_date=20120105
12-003205,Suspicious Circumstance,2800 block of Gateway Oaks Dr,1358,pages/view.aspx?publish_date=20120105
12-003540,Robbery,2900 block of Del Paso Blvd,1931,pages/view.aspx?publish_date=20120105
12-002867,,3800 block of J St,842,pages/view.aspx?publish_date=20120105
12-003127,Burglary,3200 block of 16th Ave,1252,pages/view.aspx?publish_date=20120105
12-003215,Welfare Check,5700 block of 47th Ave,1409,pages/view.aspx?publish_date=20120105
12-003527,Assault,2300 block of Stockton Blvd,1912,pages/view.aspx?publish_date=20120105
12-003578,Suspicious Circumstance,1900 block of 21st St,2013,pages/view.aspx?publish_date=20120105
12-003125,Pursuit,Mack Rd / Center Pkwy,1700,pages/view.aspx?publish_date=20120105
12-003511,Shooting,100 block of Fountain Springs Cir,1851,pages/view.aspx?publish_date=20120105
12-003586,Vandalism,3300 block of 25th Ave,2037,pages/view.aspx?publish_date=20120105
12-004051,Suspicious Circumstance,Arden Way / Colfax St,1149,pages/view.aspx?publish_date=20120106
12-004113,Warrant,2600 block of Forrest St,1259,pages/view.aspx?publish_date=20120106
12-004033,Stolen Vehicle,Calvados Ave / Erickson St,1128,pages/view.aspx?publish_date=20120106
12-004257,Traffic Stop,3600 block of Dayton St,1509,pages/view.aspx?publish_date=20120106
12-004454,Purse Snatch,2400 block of Del Paso Blvd,1755,pages/view.aspx?publish_date=20120106
12-004710,Robbery,San Juan Rd / Truxel Rd,2229,pages/view.aspx?publish_date=20120106
12-003844,Burglary,300 block of 35th St,708,pages/view.aspx?publish_date=20120106
12-004563,Subject Stop,Stockton Blvd / 47th Ave,1931,pages/view.aspx?publish_date=20120106
12-004578,Subject Stop,9th Ave / 37th St,1946,pages/view.aspx?publish_date=20120106
12-004691,Traffic Stop,Alhambra Blvd / N St,2204,pages/view.aspx?publish_date=20120106
12-004486,Collision,800 block of K St,1824,pages/view.aspx?publish_date=20120106
12-004766,Burglary,2400 block of L St,29,pages/view.aspx?publish_date=20120106
12-004787,False Reports of an Emergency,30th St / S St,114,pages/view.aspx?publish_date=20120106
12-004476,Suspicious Occupied Vehicle,Santa Rosa Ave / San Jose Way,1820,pages/view.aspx?publish_date=20120106
12-003889,Attempt Pick-Up,6400 block of Sunnyfield Way,848,pages/view.aspx?publish_date=20120106
12-004539,Robbery,1100 block of Broadway,1904,pages/view.aspx?publish_date=20120106
12-004621,Robbery,4000 block of S Land Park Dr,2026,pages/view.aspx?publish_date=20120106
12-004679,Shooting,1900 block of Esterel Way,2146,pages/view.aspx?publish_date=20120106
12-004340,Brandishing,7500 block of Muirfield Way,1618,pages/view.aspx?publish_date=20120106
12-004338,Suspicious Circumstance,7100 block of Snowy Birch Way,1616,pages/view.aspx?publish_date=20120106
12-005596,Assault,3500 block of Truxel Rd,2124,pages/view.aspx?publish_date=20120107
12-005860,Traffic Stop,I 5 Sb / Arena Blvd,406,pages/view.aspx?publish_date=20120107
12-005879,Vandalism,2500 block of Autumn Meadow Ave,506,pages/view.aspx?publish_date=20120107
12-005108,Missing Person,7800 block of 39th Ave,1243,pages/view.aspx?publish_date=20120107
12-005666,Robbery,J St / 22nd St,2242,pages/view.aspx?publish_date=20120107
12-005839,Robbery,1800 block of G St,259,pages/view.aspx?publish_date=20120107
12-005865,Shooting,5000 block of Bradford Dr,420,pages/view.aspx?publish_date=20120107
12-005081,Burglary,7400 block of Shelby St,1206,pages/view.aspx?publish_date=20120107
12-005396,Domestic Violence,7600 block of Bluebrook Way,1737,pages/view.aspx?publish_date=20120107
12-005458,Citizen Holding a Suspect,5500 block of Mack Rd,1827,pages/view.aspx?publish_date=20120107
12-005255,Robbery,2500 block of Broadway,1527,pages/view.aspx?publish_date=20120107
12-005791,Domestic Violence,400 block of Little River Way,125,pages/view.aspx?publish_date=20120107
12-006349,Traffic Stop,W El Camino Ave / Northgate Blvd,1740,pages/view.aspx?publish_date=20120108
12-006460,Assault,900 block of Eleanor Ave,1935,pages/view.aspx?publish_date=20120108
12-006463,Assault,100 block of Arcade Blvd,1942,pages/view.aspx?publish_date=20120108
12-006118,Assault,1000 block of Garden Hwy,1248,pages/view.aspx?publish_date=20120108
12-006745,Pursuit,Bowlinggreen/Surrey,129,pages/view.aspx?publish_date=20120108
12-005972,Sexual Assault,2300 block of P St,915,pages/view.aspx?publish_date=20120108
12-006267,Burglary,4100 block of 3rd Ave,1616,pages/view.aspx?publish_date=20120108
12-006725,Burglary,1100 block of J St,50,pages/view.aspx?publish_date=20120108
12-006078,Assault,Florin Rd/South Land Park Dr,1204,pages/view.aspx?publish_date=20120108
12-006204,Attempt Burglary,300 block of Broadway,1445,pages/view.aspx?publish_date=20120108
12-006429,Stolen Vehicle,4500 block of Franklin Blvd,1903,pages/view.aspx?publish_date=20120108
12-006496,Burglary,2600 block of 27th St,2044,pages/view.aspx?publish_date=20120108
12-006523,Assault,6000 block of Hamburg Way,2117,pages/view.aspx?publish_date=20120108
12-006534,Robbery,4000 block of Florin Rd,2129,pages/view.aspx?publish_date=20120108
12-006557,Assault,3500 block of Winning Way,2156,pages/view.aspx?publish_date=20120108
12-006704,Traffic Stop,24th St / Meadowview Rd,22,pages/view.aspx?publish_date=20120108
12-006782,Shooting,7700 block of 24th St,233,pages/view.aspx?publish_date=20120108
12-007134,Robbery,2800 block of Mendel Way,1533,pages/view.aspx?publish_date=20120109
12-007252,Possession of Stolen Property,2900 block of Azevedo Dr,1808,pages/view.aspx?publish_date=20120109
12-007425,Suspicious Subject,800 block of Lampasas Ave,2152,pages/view.aspx?publish_date=20120109
12-006846,Sexual Assault,2500 block of N St,639,pages/view.aspx?publish_date=20120109
12-006879,Trespassing,1000 block of Alhambra Blvd,837,pages/view.aspx?publish_date=20120109
12-006989,Intoxicated Subject,5100 block of Mcglashan St,1206,pages/view.aspx?publish_date=20120109
12-007043,Burglary,3100 block of 33rd St,1324,pages/view.aspx?publish_date=20120109
12-007227,Subject Stop,9th St / K St,1731,pages/view.aspx?publish_date=20120109
12-007579,Traffic Stop,15th St / Q St,333,pages/view.aspx?publish_date=20120109
12-007037,Attempted Robbery,300 block of Florin Rd,1317,pages/view.aspx?publish_date=20120109
12-007144,Assault,4900 block of Mack Rd,1550,pages/view.aspx?publish_date=20120109
12-007178,Shooting,5700 block of Mack Rd,1637,pages/view.aspx?publish_date=20120109
12-007431,Suspicious Circumstance,2100 block of 47th Ave,2201,pages/view.aspx?publish_date=20120109
12-007497,Burglary,3100 block of 36th Ave,2357,pages/view.aspx?publish_date=20120109
12-007547,Fraud,2200 block of Kenworthy Way,125,pages/view.aspx?publish_date=20120109
12-008277,Domestic Violence,2600 block of Altos Ave,2012,pages/view.aspx?publish_date=20120110
12-008365,Burglary,3200 block of Truxel,2207,pages/view.aspx?publish_date=20120110
12-008433,Vandalism,1200 block of Arden Way,2316,pages/view.aspx?publish_date=20120110
12-008129,Shooting,3800 block of Bigler Way,1709,pages/view.aspx?publish_date=20120110
12-007683,Sexual Assault,12th St / E St,846,pages/view.aspx?publish_date=20120110
12-007852,Disturbance,900 block of I St,1221,pages/view.aspx?publish_date=20120110
12-008273,Wanted Subject Arrested,7th St / L St,2007,pages/view.aspx?publish_date=20120110
12-008406,Disturbance,1100 block of C St,2255,pages/view.aspx?publish_date=20120110
12-007772,Robbery,300 block of Florin Rd,1031,pages/view.aspx?publish_date=20120110
12-007826,Suspicious Subject,1400 block of Arden Way,1141,pages/view.aspx?publish_date=20120111
12-007833,Dead Body,Lampasas Ave / Rio Linda Blvd,1154,pages/view.aspx?publish_date=20120111
12-008023,Assault,1300 block of Rene Ave,1452,pages/view.aspx?publish_date=20120111
12-008471,Two Pursuits,WB I 80/NB I 5 Fwy,55,pages/view.aspx?publish_date=20120111
12-009009,Theft,100 block of Seraspi Ct,1526,pages/view.aspx?publish_date=20120111
12-009139,Suspicious Circumstance,2800 block of Bendmill Way,1732,pages/view.aspx?publish_date=20120111
12-009232,Accident,Regginald Way / Taylor St,1918,pages/view.aspx?publish_date=20120111
12-009239,Suspicious Subject,3900 block of Stockton Blvd,1920,pages/view.aspx?publish_date=20120111
12-009003,Shooting,2300 block of 68th Ave,1521,pages/view.aspx?publish_date=20120111
12-009688,Warrant Arrest,9800 block of Fair Oaks Blvd,1131,pages/view.aspx?publish_date=20120112
12-009904,Warrant Arrest,1000 block of Arcade Blvd,1536,pages/view.aspx?publish_date=20120112
12-010203,Accident,Del Paso Blvd Boxwood,2033,pages/view.aspx?publish_date=20120112
12-010328,Stolen Vehicle,Norwood Ave/Eleanor,2323,pages/view.aspx?publish_date=20120112
12-009748,Subject Stop,42nd St / 7th Ave,1248,pages/view.aspx?publish_date=20120112
12-010018,Shooting,28th Ave/Ethel Way,1707,pages/view.aspx?publish_date=20120112
12-010126,Robbery,7800 block of Summersdale Dr,1859,pages/view.aspx?publish_date=20120112
12-009987,Suspicious Circumstance,2500 block of Cadjew,1645,pages/view.aspx?publish_date=20120112
12-010367,Missing Person,4500 block of Mack Rd,43,pages/view.aspx?publish_date=20120112
12-010428,Suspicious Subject,5700 block of Dorset Way,416,pages/view.aspx?publish_date=20120112
12-010654,Shots Fired,1400 block of Arcade Blvd,1134,pages/view.aspx?publish_date=20120113
12-010551,Robbery,400 block of Arden Way,934,pages/view.aspx?publish_date=20120113
12-011010,Stolen Vehicle,Acacia Ave / Fairfield St,1718,pages/view.aspx?publish_date=20120113
12-011357,Home Invasion,3800 block of Jasmine St,56,pages/view.aspx?publish_date=20120113
12-011421,Stolen Vehicle,I 5 Sb / Arena Blvd,522,pages/view.aspx?publish_date=20120113
12-010514,Casualty,5300 block of 48th St,839,pages/view.aspx?publish_date=20120113
12-010622,Suspicious Subject,3400 block of Martin Luther King Jr Blvd,1059,pages/view.aspx?publish_date=20120113
12-010696,Foot Pursuit,33rd St / 5th Ave,1232,pages/view.aspx?publish_date=20120113
12-010754,Suspicious Subject,8th St / K St,1335,pages/view.aspx?publish_date=20120113
12-010920,Domestic Violence,3300 block of 41st St,1553,pages/view.aspx?publish_date=20120113
12-011141,Shooting,Stockton Blvd / Fruitridge Rd,1940,pages/view.aspx?publish_date=20120113
12-011282,Narcotics Arrest,2nd Ave / 33rd St,2245,pages/view.aspx?publish_date=20120113
12-010476,Warrant Arrest,3300 block of 12th Ave,743,pages/view.aspx?publish_date=20120113
12-010759,Attempt Pick-Up,4800 block of Amblebrook Way,1341,pages/view.aspx?publish_date=20120113
12-011239,Robbery,2000 block of Sutterville Rd,2152,pages/view.aspx?publish_date=20120113
12-011138,Attempt Pick-Up,7800 block of Burlington Way,1939,pages/view.aspx?publish_date=20120113
12-011206,Traffic Stop,25th St / 24th St,2107,pages/view.aspx?publish_date=20120113
12-011265,Subject Stop,7200 block of Tamoshanter Way,2219,pages/view.aspx?publish_date=20120113
12-011390,Traffic Stop,24th St / Fruitridge Rd,207,pages/view.aspx?publish_date=20120113
12-005398,Attempt Pick-Up,300 block of Chango Cir,1739,pages/view.aspx?publish_date=20120114
12-012094,Assault,2200 block of Royale Rd,1931,pages/view.aspx?publish_date=20120114
12-012117,Sexual Assault,2600 block of Altos Ave,2006,pages/view.aspx?publish_date=20120114
12-012201,Stolen Vehicle,Northgate Blvd / Rosin Ct,2156,pages/view.aspx?publish_date=20120114
12-012220,Shooting,4900 block of Warren Ave,2222,pages/view.aspx?publish_date=20120114
12-011581,Subject Stop,Martin Luther King Jr Blvd / 7th Ave,1108,pages/view.aspx?publish_date=20120114
12-011448,Burglary,5400 block of F St,712,pages/view.aspx?publish_date=20120114
12-011005,Forgery,3000 block of Capitol Ave,1710,pages/view.aspx?publish_date=20120114
12-012106,Narcotics Arrest,4300 block of Stockton Blvd,1951,pages/view.aspx?publish_date=20120114
12-012638,Dead Body,Hwy 160 Wb / Northgate Blvd,1240,pages/view.aspx?publish_date=20120115
12-012645,Suspicious Circumstance,3200 block of Palmer St,1254,pages/view.aspx?publish_date=20120115
12-012812,Stolen Vehicle,1300 block of Main Ave,1632,pages/view.aspx?publish_date=20120115
12-013052,Robbery,El Camino Ave / Connie Dr,2034,pages/view.aspx?publish_date=20120115
12-013226,Suspicious Vehicle,Empress St / El Camino Ave,2305,pages/view.aspx?publish_date=20120115
12-013367,Theft,Coso Ct / Pinedale Ave,149,pages/view.aspx?publish_date=20120115
12-012555,Disturbance,2800 block of J St,1028,pages/view.aspx?publish_date=20120115
12-012660,Subject Stop,Alhambra Blvd / N St,1312,pages/view.aspx?publish_date=20120115
12-012798,Burglary,2300 block of F St,1612,pages/view.aspx?publish_date=20120115
12-013373,Robbery,300 block of Richards Blvd,159,pages/view.aspx?publish_date=20120115
12-013440,Hit and Run,21st St / W St,453,pages/view.aspx?publish_date=20120115
12-012608,Suspicious Subject,1900 block of Vallejo Way,1153,pages/view.aspx?publish_date=20120115
12-012875,Assault,Casa Linda Dr/24th St,1743,pages/view.aspx?publish_date=20120115
12-012928,Accident,1400 block of Meadowview Rd,1844,pages/view.aspx?publish_date=20120115
12-013030,Missing Person,7600 block of Windbridge Dr,2019,pages/view.aspx?publish_date=20120115
12-013115,Burglary,6400 block of Riverside Blvd,2135,pages/view.aspx?publish_date=20120115
12-013386,Traffic Stop,Bruceville Rd / Alta Valley Dr,219,pages/view.aspx?publish_date=20120115
12-013435,Suspicious Circumstance,La Fresa Ct / La Pera Ct,421,pages/view.aspx?publish_date=20120115
12-013992,Welfare Check,Arden Garden/Northgate Blvd,1918,pages/view.aspx?publish_date=20120116
12-013455,Burglary,3400 block of 37th St,632,pages/view.aspx?publish_date=20120116
12-013822,Traffic Stop,Stockton Blvd / 22nd Ave,1557,pages/view.aspx?publish_date=20120116
12-013927,Burglary,600 block of P St,1749,pages/view.aspx?publish_date=20120116
12-013977,Brandishing,1200 block of Sitka St,1844,pages/view.aspx?publish_date=20120116
12-014090,Child Neglect,Bercut Dr / Richards Blvd,2126,pages/view.aspx?publish_date=20120116
12-014225,Domestic Violence,1400 block of  34th St,58,pages/view.aspx?publish_date=20120116
12-014230,Stolen Vehicle,Elder Creek Rd/63rd St,108,pages/view.aspx?publish_date=20120116
12-013687,Burglary,1300 block of Florin Rd,1317,pages/view.aspx?publish_date=20120116
12-014050,Subject Stop,Fruitridge Rd / Freeport Blvd,2040,pages/view.aspx?publish_date=20120116
12-014112,Robbery,5500 block of Mack Rd,2200,pages/view.aspx?publish_date=20120116
12-014194,Domestic Violence,4900 block of Lion Gate Way,2351,pages/view.aspx?publish_date=20120116
12-014462,Suspicious Circumstance,2200 block of American Ave,1239,pages/view.aspx?publish_date=20120117
12-014695,Stolen Vehicle,Northgate Blvd / Rosin Ct,1725,pages/view.aspx?publish_date=20120117
12-014819,Reckless Drivers,W Elkhorn Blvd / Hwy 99 Nb,2025,pages/view.aspx?publish_date=20120117
12-014982,Robbery,4300 block of Norwood Ave,209,pages/view.aspx?publish_date=20120117
12-014313,Found Property,1800 block of L St,759,pages/view.aspx?publish_date=20120117
12-014386,Sexual Activity,1300 block of 62nd St,1020,pages/view.aspx?publish_date=20120117
12-014297,Burglary,2200 block of K St,705,pages/view.aspx?publish_date=20120117
12-014458,Burglary,3000 block of 8th Ave,1231,pages/view.aspx?publish_date=20120117
12-014681,Welfare Check,1200 block of Silver Ridge Way,1659,pages/view.aspx?publish_date=20120117
12-014919,Shooting,Center Pkwy / Scarborough Way,2312,pages/view.aspx?publish_date=20120117
12-014951,Suspicious Subject,2200 block of 15th Ave,5,pages/view.aspx?publish_date=20120117
12-015043,Warrant Arrest,5700 block of Canary Dr,703,pages/view.aspx?publish_date=20120118
12-015102,Fire,Railroad Dr / Del Paso Blvd,840,pages/view.aspx?publish_date=20120118
12-015379,Robbery,Brewerton Dr/Mendel Way,1309,pages/view.aspx?publish_date=20120118
12-015701,Shooting,Grand/Pinell,1811,pages/view.aspx?publish_date=20120118
12-015769,Warrant Arrest,400 block of Wisconsin Ave,1923,pages/view.aspx?publish_date=20120118
12-015858,Sexual Assault,3100 block of Wiese Way,2158,pages/view.aspx?publish_date=20120118
12-015915,Robbery,Academy Way/Eldridge Rd,2336,pages/view.aspx?publish_date=20120118
12-015071,Traffic Stop,4500 block of Roosevelt Ave,753,pages/view.aspx?publish_date=20120118
12-015147,Subject Stop,Vandenberg Dr / Priscilla Ln,920,pages/view.aspx?publish_date=20120118
12-014818,Subject Stop,Stockton Blvd / Fowler Ave,2025,pages/view.aspx?publish_date=20120118
12-015826,Wanted Subject,7500 block of Citrus Ave,2046,pages/view.aspx?publish_date=20120118
12-015780,Vandalism,5400 block of Standish Rd,1938,pages/view.aspx?publish_date=20120118
12-015904,Stolen Vehicle,Stockton Blvd / 16th Ave,2306,pages/view.aspx?publish_date=20120118
12-015218,Welfare Check,Land Park Dr / Teneighth Way,1031,pages/view.aspx?publish_date=20120118
12-015265,Burglary,7900 block of Reindeer Way,1111,pages/view.aspx?publish_date=20120118
12-015568,Sexual Assault,3900 block of Shining Star,1603,pages/view.aspx?publish_date=20120118
12-015648,Subject Stop,Franklin Blvd / 19th Ave,1713,pages/view.aspx?publish_date=20120118
12-016355,Assault,3500 block of Northgate Blvd,1253,pages/view.aspx?publish_date=20120119
12-016595,Suspicious Vehicle,3300 block of North Park Dr,1629,pages/view.aspx?publish_date=20120119
12-016700,Theft,1600 block of Arden Way,1802,pages/view.aspx?publish_date=20120119
12-016946,Outside Agency Assist,2300 block of Edison Ave,2332,pages/view.aspx?publish_date=20120119
12-016258,Warrant Arrest,3rd St / V St,1106,pages/view.aspx?publish_date=20120119
12-016694,Theft,8300 block of Folsom Blvd,1756,pages/view.aspx?publish_date=20120119
12-016775,Hit and Run,Howe Ave / College Town Dr,1942,pages/view.aspx?publish_date=20120119
12-016813,Welfare Check,5200 block of Martin Luther King Jr Blvd,2029,pages/view.aspx?publish_date=20120119
12-016826,Disturbance,400 block of Bannon St,2053,pages/view.aspx?publish_date=20120119
12-016971,Suspicious Subject,7800 block of College Town Dr,32,pages/view.aspx?publish_date=20120119
12-016993,Suspicious Subject,7800 block of College Town Dr,114,pages/view.aspx?publish_date=20120119
12-017003,Sexual Assault,P St / Stockton Blvd,136,pages/view.aspx?publish_date=20120119
12-017029,Suspicious Subject,Pantano Dr/Herbosa Vista Ct,253,pages/view.aspx?publish_date=20120119
12-016112,Warrant Arrest,7400 block of Flores Way,859,pages/view.aspx?publish_date=20120119
12-016200,Robbery,5800 block of S Land Park Dr,1022,pages/view.aspx?publish_date=20120119
12-016204,Robbery,4900 block of Freeport Blvd,1028,pages/view.aspx?publish_date=20120119
12-016632,Accident,Riverside Blvd / Rio Ln,1706,pages/view.aspx?publish_date=20120119
12-016767,Burglary,4900 block of Village Wood Dr,1927,pages/view.aspx?publish_date=20120119
12-016886,Wanted Subject,6300 block of Ventura St,2208,pages/view.aspx?publish_date=20120119
12-016895,Suspicious Vehicle,700 block of Broadway,2226,pages/view.aspx?publish_date=20120119
12-017310,Warrant Arrest,3000 block of Branch St,1126,pages/view.aspx?publish_date=20120120
12-017375,Traffic Stop,Marysville Blvd / Acacia Ave,1242,pages/view.aspx?publish_date=20120120
12-017829,Robbery,2900 block of Del Paso Blvd,2128,pages/view.aspx?publish_date=20120120
12-017794,Robbery,4200 block of Norwood Ave,2045,pages/view.aspx?publish_date=20120120
12-017141,Probation Search,6000 block of Dias Ave,832,pages/view.aspx?publish_date=20120120
12-017332,Robbery,3100 block of Folsom Blvd,1142,pages/view.aspx?publish_date=20120120
12-017632,Traffic Collision,Fruitridge Rd / 58th St,1710,pages/view.aspx?publish_date=20120120
12-017766,Stolen Vehicle,38th Ave / Wilkinson St,1957,pages/view.aspx?publish_date=20120120
12-017897,Robbery,10th St / K St,2325,pages/view.aspx?publish_date=20120120
12-017949,Traffic Stop,Stockton Blvd / Lemon Hill Ave,131,pages/view.aspx?publish_date=20120120
12-015247,Stolen Vehicle,4200 block of 67th St,1057,pages/view.aspx?publish_date=20120120
12-017799,Shooting,Franklin Blvd / Mack Rd,2054,pages/view.aspx?publish_date=20120120
12-017556,Welfare Check,2700 block of 29th Ave,1534,pages/view.aspx?publish_date=20120120
12-017791,Warrant Arrest,1700 block of 60th Ave,2040,pages/view.aspx?publish_date=20120120
12-018071,Burglary,300 block of W El Camino Ave,902,pages/view.aspx?publish_date=20120121
12-018540,Burglary,2300 block of Fairfield St,1811,pages/view.aspx?publish_date=20120121
12-018558,Robbery,400 block of W El Camino Ave,1831,pages/view.aspx?publish_date=20120121
12-018940,Burglary,2000 block of Arena Blvd,456,pages/view.aspx?publish_date=20120121
12-018546,Arrest,5100 block of Stockton Blvd,1823,pages/view.aspx?publish_date=20120121
12-018703,Traffic Hazard,Stockton Blvd / Lemon Hill Ave,2128,pages/view.aspx?publish_date=20120121
12-018203,Traffic Accident,8700 block of Center Pkwy,1143,pages/view.aspx?publish_date=20120121
12-018130,Burglary,8600 block of Culpepper Dr,1021,pages/view.aspx?publish_date=20120121
12-018638,Traffic Collision,24th St / Sutterville Rd,2011,pages/view.aspx?publish_date=20120121
12-018518,DUI,Riverside Blvd / Perkins Way,1753,pages/view.aspx?publish_date=20120121
12-018540,Burglary,2300 block of Fairfield St,1811,pages/view.aspx?publish_date=20120122
12-018558,Robbery,400 block of W El Camino Ave,1831,pages/view.aspx?publish_date=20120122
12-019493,Disturbance,300 block of Silver Eagle,1821,pages/view.aspx?publish_date=20120122
12-019844,Robbery,4300 block of Norwood Ave,46,pages/view.aspx?publish_date=20120122
12-018977,Suspicious Subject,1400 block of N St,753,pages/view.aspx?publish_date=20120122
12-019005,Warrant Arrest,8600 block of Morrison Creek Dr,834,pages/view.aspx?publish_date=20120122
12-019338,Suspicious Circumstance,8000 block of 48th Ave,1543,pages/view.aspx?publish_date=20120122
12-019382,Suspicious Subject,4900 block of 58th St,1629,pages/view.aspx?publish_date=20120122
12-019596,Robbery,4000 block of 12th Ave,2016,pages/view.aspx?publish_date=20120122
12-019693,Subject Stop,Fruitridge Rd / 60th St,2216,pages/view.aspx?publish_date=20120122
12-019800,Suspicious Subject,5100 block of Thurman Way,2358,pages/view.aspx?publish_date=20120122
12-019808,Sexual Assault,6300 block of McMahon Dr,5,pages/view.aspx?publish_date=20120122
12-019817,Alarm,6500 block of Stockton Blvd,11,pages/view.aspx?publish_date=20120122
12-019963,Alarm,4200 block of Broadway,438,pages/view.aspx?publish_date=20120122
12-019951,Sexual Assault,6200 block of Donnelly Ln,344,pages/view.aspx?publish_date=20120122
12-019868,Traffic Stop,Us 50 Wb / Stockton Blvd,119,pages/view.aspx?publish_date=20120122
12-019028,Wanted Subject,7500 block of 21st St,912,pages/view.aspx?publish_date=20120122
12-019397,Suspicious Subject,1400 block of 69th Ave,1639,pages/view.aspx?publish_date=20120122
12-019443,Stolen Vehicle,2700 block of 29th Ave,1729,pages/view.aspx?publish_date=20120122
12-019505,Theft,5500 block of Mack Rd,1837,pages/view.aspx?publish_date=20120122
12-019588,Attempted Robbery,4900 block of Franklin Blvd,2003,pages/view.aspx?publish_date=20120122
12-018995,Warrant Arrest,4600 block of Attawa Ave,816,pages/view.aspx?publish_date=20120122
12-019971,Arson,2700 block of Grove Ave,500,pages/view.aspx?publish_date=20120123
12-020021,Stolen Vehicle,1700 block of El Monte Ave,842,pages/view.aspx?publish_date=20120123
12-020088,Domestic Violence,1600 block of Arcade Blvd,1037,pages/view.aspx?publish_date=20120123
12-019980,Medical Aid,2800 block of 59th St,630,pages/view.aspx?publish_date=20120123
12-019981,Wanted Subject,1400 block of 22nd St,638,pages/view.aspx?publish_date=20120123
12-019990,Vehicle Burglary,3000 block of Perryman Way,716,pages/view.aspx?publish_date=20120123
12-019993,Suspicious Subject,9th St / I St,727,pages/view.aspx?publish_date=20120123
12-020032,Robbery,J St / 11th St,906,pages/view.aspx?publish_date=20120123
